timestamp,electricity,airTemperature,dewTemperature,cloudCoverage,seaLvlPressure,windDirection,windSpeed,hour,day_of_week,month,is_weekend,electricity_lag_1,electricity_lag_24,electricity_lag_168
2016-01-08 03:00:00,24.3296,2.2,-2.2,0.0,1022.0,0.0,0.0,3,4,1,0,24.3296,24.3296,22.3987
2016-01-08 04:00:00,24.3296,2.8,-1.1,0.0,1020.7,30.0,2.6,4,4,1,0,24.3296,24.3296,22.0125
2016-01-08 05:00:00,24.3296,2.2,-1.1,0.0,1021.1,350.0,2.6,5,4,1,0,24.3296,24.3296,19.6954
2016-01-08 06:00:00,24.3296,2.8,-0.6,0.0,1021.8,20.0,1.5,6,4,1,0,24.3296,24.3296,20.0816
2016-01-08 07:00:00,24.3296,2.2,-4.4,0.0,1021.8,20.0,2.6,7,4,1,0,24.3296,24.3296,19.6954
2016-01-08 08:00:00,24.3296,2.2,-4.4,0.0,1021.6,20.0,2.1,8,4,1,0,24.3296,24.3296,19.6954
2016-01-08 09:00:00,24.3296,2.2,-6.7,0.0,1022.2,40.0,3.6,9,4,1,0,24.3296,24.3296,20.4678
2016-01-08 10:00:00,24.3296,2.8,-7.2,0.0,1022.4,60.0,4.1,10,4,1,0,24.3296,24.3296,22.7849
2016-01-08 11:00:00,24.3296,3.9,-5.6,0.0,1022.4,70.0,3.1,11,4,1,0,24.3296,24.3296,25.8744
2016-01-08 12:00:00,24.3296,5.0,-4.4,0.0,1021.7,70.0,4.1,12,4,1,0,24.3296,24.3296,27.0329
2016-01-08 13:00:00,24.3296,6.7,-2.2,0.0,1021.0,80.0,4.6,13,4,1,0,24.3296,24.3296,28.9638
2016-01-08 14:00:00,24.3296,6.1,-1.1,0.0,1020.4,60.0,3.1,14,4,1,0,24.3296,24.3296,27.8053
2016-01-08 15:00:00,24.3296,6.7,-0.6,0.0,1020.6,60.0,3.1,15,4,1,0,24.3296,24.3296,26.6467
2016-01-08 16:00:00,24.3296,6.1,0.6,0.8,1020.3,80.0,3.1,16,4,1,0,24.3296,24.3296,25.8744
2016-01-08 17:00:00,24.3296,6.1,1.1,1.6,1020.9,80.0,2.6,17,4,1,0,24.3296,24.3296,26.6467
2016-01-08 18:00:00,24.3296,5.6,1.1,2.4000000000000004,1021.3,60.0,2.1,18,4,1,0,24.3296,24.3296,26.2606
2016-01-08 19:00:00,24.3296,5.6,0.6,3.2,1021.4,30.0,2.6,19,4,1,0,24.3296,24.3296,26.6467
2016-01-08 20:00:00,24.3296,5.0,0.6,4.0,1020.9,40.0,4.1,20,4,1,0,24.3296,24.3296,27.0329
2016-01-08 21:00:00,24.3296,5.0,1.1,3.3333333333333335,1021.4,60.0,3.6,21,4,1,0,24.3296,24.3296,26.6467
2016-01-08 22:00:00,24.3296,4.4,1.1,2.666666666666667,1021.0,80.0,3.6,22,4,1,0,24.3296,24.3296,27.8053
2016-01-08 23:00:00,24.3296,5.0,1.7,2.0,1020.8,80.0,2.6,23,4,1,0,24.3296,24.3296,29.35
2016-01-09 00:00:00,24.3296,5.0,1.7,2.051282051282051,1020.9,40.0,3.1,0,5,1,1,24.3296,24.3296,29.7362
2016-01-09 01:00:00,24.3296,4.4,1.1,2.1025641025641026,1020.3,70.0,3.1,1,5,1,1,24.3296,24.3296,28.9638
2016-01-09 02:00:00,24.3296,5.0,1.7,2.1538461538461537,1020.3,60.0,4.6,2,5,1,1,24.3296,24.3296,30.5086
2016-01-09 03:00:00,24.3296,5.6,1.7,2.2051282051282053,1020.7,50.0,3.1,3,5,1,1,24.3296,24.3296,21.6263
2016-01-09 04:00:00,24.3296,5.0,1.1,2.2564102564102564,1020.0,70.0,4.1,4,5,1,1,24.3296,24.3296,20.854
2016-01-09 05:00:00,24.3296,5.0,1.1,2.3076923076923075,1019.9,50.0,4.1,5,5,1,1,24.3296,24.3296,20.0816
2016-01-09 06:00:00,24.3296,4.4,1.1,2.358974358974359,1020.2,20.0,1.5,6,5,1,1,24.3296,24.3296,21.2402
2016-01-09 07:00:00,24.3296,4.4,1.1,2.41025641025641,1020.4,40.0,1.5,7,5,1,1,24.3296,24.3296,20.0816
2016-01-09 08:00:00,24.3296,4.4,1.1,2.4615384615384617,1020.2,50.0,3.6,8,5,1,1,24.3296,24.3296,19.6954
2016-01-09 09:00:00,24.3296,5.0,1.7,2.5128205128205128,1021.2,40.0,2.6,9,5,1,1,24.3296,24.3296,22.0125
2016-01-09 10:00:00,24.3296,6.1,2.8,2.564102564102564,1021.5,70.0,4.6,10,5,1,1,24.3296,24.3296,24.7158
2016-01-09 11:00:00,24.3296,7.2,3.3,2.6153846153846154,1021.4,80.0,3.6,11,5,1,1,24.3296,24.3296,27.0329
2016-01-09 12:00:00,24.3296,8.3,5.0,2.6666666666666665,1020.6,90.0,3.6,12,5,1,1,24.3296,24.3296,28.5777
2016-01-09 13:00:00,24.3296,9.4,5.6,2.717948717948718,1019.3,90.0,4.6,13,5,1,1,24.3296,24.3296,27.8053
2016-01-09 14:00:00,24.3296,9.4,6.1,2.769230769230769,1019.1,70.0,3.1,14,5,1,1,24.3296,24.3296,27.4191
2016-01-09 15:00:00,24.3296,8.9,6.1,2.8205128205128203,1018.9,90.0,3.1,15,5,1,1,24.3296,24.3296,27.0329
2016-01-09 16:00:00,24.3296,8.3,6.1,2.871794871794872,1018.8,100.0,2.6,16,5,1,1,24.3296,24.3296,26.2606
2016-01-09 17:00:00,24.3296,8.3,6.7,2.923076923076923,1018.9,80.0,4.1,17,5,1,1,24.3296,24.3296,26.2606
2016-01-09 18:00:00,24.3296,8.3,7.2,2.9743589743589745,1019.5,100.0,2.1,18,5,1,1,24.3296,24.3296,26.2606
2016-01-09 19:00:00,24.3296,8.3,7.2,3.0256410256410255,1019.3,80.0,3.1,19,5,1,1,24.3296,24.3296,26.6467
2016-01-09 20:00:00,24.3296,8.3,7.2,3.0769230769230766,1018.9,80.0,4.6,20,5,1,1,24.3296,24.3296,25.8744
2016-01-09 21:00:00,24.3296,7.8,6.7,3.128205128205128,1017.8,70.0,4.6,21,5,1,1,24.3296,24.3296,27.0329
2016-01-09 22:00:00,24.3296,7.8,7.2,3.1794871794871797,1016.8,70.0,5.1,22,5,1,1,24.3296,24.3296,27.0329
2016-01-09 23:00:00,24.3296,7.8,7.2,3.230769230769231,1016.5,80.0,4.1,23,5,1,1,24.3296,24.3296,30.1224
2016-01-10 00:00:00,24.3296,8.3,7.2,3.282051282051282,1014.6,70.0,5.1,0,6,1,1,24.3296,24.3296,29.35
2016-01-10 01:00:00,24.3296,8.9,7.8,3.333333333333333,1012.9,80.0,4.6,1,6,1,1,24.3296,24.3296,29.35
2016-01-10 02:00:00,24.3296,9.4,8.9,3.3846153846153846,1011.0,70.0,7.7,2,6,1,1,24.3296,24.3296,30.8948
2016-01-10 03:00:00,24.3296,9.4,8.9,3.435897435897436,1009.0,70.0,7.7,3,6,1,1,24.3296,24.3296,23.5573
2016-01-10 04:00:00,24.3296,9.4,8.3,3.4871794871794872,1006.95,70.0,6.7,4,6,1,1,24.3296,24.3296,21.2402
2016-01-10 05:00:00,24.3296,10.0,9.4,3.5384615384615383,1004.9,80.0,6.7,5,6,1,1,24.3296,24.3296,19.3092
2016-01-10 06:00:00,24.3296,11.1,10.0,3.5897435897435894,1003.0,80.0,6.7,6,6,1,1,24.3296,24.3296,19.3092
2016-01-10 07:00:00,24.3296,10.6,10.6,3.641025641025641,1001.4,60.0,3.6,7,6,1,1,24.3296,24.3296,19.3092
2016-01-10 08:00:00,24.3296,12.8,12.2,3.6923076923076925,999.9,120.0,3.6,8,6,1,1,24.3296,24.3296,20.4678
2016-01-10 09:00:00,24.3296,14.4,13.9,3.7435897435897436,998.8,170.0,5.7,9,6,1,1,24.3296,24.3296,22.0125
2016-01-10 10:00:00,24.3296,15.6,14.4,3.7948717948717947,998.2,190.0,5.7,10,6,1,1,24.3296,24.3296,24.7158
2016-01-10 11:00:00,24.3296,16.1,14.4,3.846153846153846,996.6,170.0,5.1,11,6,1,1,24.3296,24.3296,28.5777
2016-01-10 12:00:00,24.3296,16.1,14.4,3.8974358974358974,995.2,190.0,5.1,12,6,1,1,24.3296,24.3296,28.9638
2016-01-10 13:00:00,24.3296,17.2,14.4,3.948717948717949,992.9,190.0,7.2,13,6,1,1,24.3296,24.3296,27.8053
2016-01-10 14:00:00,24.3296,17.8,12.8,4.0,992.3,210.0,8.2,14,6,1,1,24.3296,24.3296,31.6671
2016-01-10 15:00:00,24.3296,17.2,10.6,2.0,991.7,230.0,9.8,15,6,1,1,24.3296,24.3296,29.35
2016-01-10 16:00:00,24.3296,13.9,7.2,4.0,993.0,270.0,5.7,16,6,1,1,24.3296,24.3296,26.2606
2016-01-10 17:00:00,24.3296,13.3,6.7,4.0,993.7,250.0,3.6,17,6,1,1,24.3296,24.3296,27.0329
2016-01-10 18:00:00,24.3296,12.2,5.6,2.666666666666667,995.4,280.0,9.8,18,6,1,1,24.3296,24.3296,26.2606
2016-01-10 19:00:00,24.3296,10.0,5.0,1.3333333333333335,996.6,260.0,6.7,19,6,1,1,24.3296,24.3296,27.0329
2016-01-10 20:00:00,24.3296,7.8,-1.1,0.0,998.6,290.0,7.7,20,6,1,1,24.3296,24.3296,26.6467
2016-01-10 21:00:00,24.3296,5.6,-3.3,0.0,1000.6,270.0,8.2,21,6,1,1,24.3296,24.3296,27.4191
2016-01-10 22:00:00,24.3296,5.0,-3.9,1.0,1001.9,280.0,9.3,22,6,1,1,24.3296,24.3296,28.1915
2016-01-10 23:00:00,24.3296,3.3,-5.6,2.0,1003.4,270.0,8.2,23,6,1,1,24.3296,24.3296,29.7362
2016-01-11 00:00:00,24.3296,3.3,-6.1,1.3333333333333335,1004.3,280.0,8.8,0,0,1,0,24.3296,24.3296,30.1224
2016-01-11 01:00:00,24.3296,2.2,-7.8,0.6666666666666667,1005.3,280.0,9.3,1,0,1,0,24.3296,24.3296,30.1224
2016-01-11 02:00:00,24.3296,1.7,-9.4,0.0,1006.7,300.0,6.7,2,0,1,0,24.3296,24.3296,29.35
2016-01-11 03:00:00,24.3296,0.6,-10.0,4.0,1007.8,290.0,6.2,3,0,1,0,24.3296,24.3296,25.4882
2016-01-11 04:00:00,24.3296,0.0,-9.4,2.0,1009.1,290.0,3.6,4,0,1,0,24.3296,24.3296,23.1711
2016-01-11 05:00:00,24.3296,-1.1,-11.7,0.0,1010.0,280.0,5.1,5,0,1,0,24.3296,24.3296,19.6954
2016-01-11 06:00:00,24.3296,-1.1,-12.2,0.0,1011.0,290.0,5.1,6,0,1,0,24.3296,24.3296,18.923
2016-01-11 07:00:00,24.3296,-2.2,-11.7,0.0,1012.1,260.0,4.1,7,0,1,0,24.3296,24.3296,20.0816
